IBAN,Nume Beneficiar,CUI,Nume Partener
RO95BTRLRONCRT0CR6181901,Asociatia Cross & Fit Bodyweight Pi,,
RO11BRMA0999100059188329,ASOCIATIA SARA MARIA,24730819,MAR SRL
RO43TREZ67120G330400XXXX,DSVSA Valcea,2574212,DSVSA Valcea
RO23BTRL01401202694292XX,CT BUS,1883902,CT BUS S.A.
Nespecificat,Nespecificat,,
RO23BACX0000001069910000,JT International (Romania) SRL,RO5110535,J.T. INTERNATIONAL (ROMANIA) SRL
RO49INGB0000999905449101,COSBI GROUP INVEST S.R.L.,35227333,COSBI GROUP INVEST S.R.L.
RO57BACX0000002040200000,BAD SAR SRL,39888079,BAD SAR S.R.L.
RO36BTRLRONCRT0349813601,Lumanik Center SRL,RO35897287,LUMANIK CENTER SRL
RO98BTRLRONCRT0CJ1887101,DAVID START EXPRESS MODE SRL,47118178,DAVID START EXPRESS MODE S.R.L.
RO33BACX0000001798998001,CECILIA IONEMARI S.R.L.,40563194,CECILIA IONEMARI S.R.L.
RO02BRDE410SV62192294100,Alpha-GH-Consult SRL,RO36392851,ALPHA-GH-CONSULT SRL
RO21BACX0000002536202000,DEEA&DIDI SRL,48659694,DEEA&DIDI S.R.L.
RO26BTRLRONCRT0584511101,PORTIK DIAN SRL,RO43559678,PORTIK DIAN S.R.L.
RO24INGB0000999916412200,TANSER SRL,50615339,TANSER S.R.L.
RO61BTRLRONCRT0T13A3AB01,PANORAMA DTM CONSULTING SRL,42839980,PANORAMA DTM CONSULTING S.R.L.
RO49BREL0002003193580100,ACILIS EXPRESS SRL,44514682,ACILIS EXPRESS S.R.L.
RO75BRDE340SV87678843400,ELSYN S.R.L.,RO47383360,ELSYN S.R.L.
RO66BTRLRONCRT0CH0905801,DEEAYAN CONCEPT SRL,44817147,DEEAYAN CONCEPT S.R.L.
RO15BTRLRONCRT0CI5467001,AETIS SOLUTION SRL,46893663,AETIS SOLUTION S.R.L.
RO58BTRLRONCRT0400803001,Catinca SRL,20573525,CATINCA SRL
RO70INGB0000999907776917,IRIS XPRESS TABAC SRL,39051662,IRIS XPRESS TABAC S.R.L.
RO37BACX0000002258850000,SELLA AGENCY SRL,RO41080465,SELLA AGENCY S.R.L.
RO16BACX0000002271686000,GEO BRC VASLUI S.R.L.,45543007,GEO BRC VASLUI S.R.L.
RO21BTRLRONCRT0530921601,MAGIA VAM COMPANY SRL,41986281,MAGIA VAM COMPANY S.R.L.
RO86BTRLRONCRT0CS5072501,MAV GENERAL XPRESS S.R.L.,50191217,MAV GENERAL XPRESS S.R.L.
RO64BTRLRONCRT0442169901,KHALIMADE NN SRL,39139501,KHALIMADE NN S.R.L.
RO66BTRLRONCRT0CK0432601,AETIS ADMIN SRL,RO47408007,AETIS ADMIN S.R.L.
RO98BACX0000002801897000,TNZ STAR S.R.L.,51188171,TNZ STAR S.R.L.
RO82RZBR0000060022957265,DASMIRA TRIO S.R.L.,44881492,DASMIRA TRIO S.R.L.
RO85BTRLRONCRT0CK6803801,DORIS CONCEPT SRL,47645232,DORIS CONCEPT S.R.L.
RO06BTRLRONCRT0441642101,Teorox Shop SRL,39128596,TEOROX SHOP S.R.L.
RO14INGB0000999917176352,AXC RETAIL 2025 S.R.L.,51320662,AXC RETAIL 2025 S.R.L.
RO03INGB0000999912982076,LEBADA & ANTO S.R.L.,46812952,LEBADA & ANTO S.R.L.
RO83BACX0000003936709000,NICO GABI PERFECT S.R.L.,51929283,NICO GABI PERFECT S.R.L.
RO35BTRLRONCRT0CE8158501,RDD EXCLUSIVE WAY SRL,RO45058339,RDD EXCLUSIVE WAY S.R.L.
RO79BACX0000002310681000,AEDIS DIAIULIA S.R.L.,46102793,AEDIS DIAIULIA S.R.L.
RO10INGB0000999917853581,PAIRXPRESS S.R.L.,52008384,PAIRXPRESS S.R.L.
RO20BACX0000002760583000,LAURAPRESS S.R.L.,50749144,LAURAPRESS S.R.L.
RO82INGB0000999912036844,LUKROM XPRESS SRL Tabac Xpress,45316039,LUKROM XPRESS S.R.L.
RO73BACX0000002612277000,Pater Solution Exe SRL,35257636,PATER SOLUTION EXE SRL
RO72BTRLRONCRT0493371401,GABI OPTIM SRL,RO36441024,GABI OPTIM SRL
RO50RNCB0053178241360001,R&C RALLIA S.R.L.,49676120,R&C RALLIA S.R.L.
RO88BACX0000002684921000,NECHACHE MIHAI PFA,50152803,NECHACHE MIHAI PERSOANA FIZICA AUTORIZATA
RO37BTRLRONCRT0CL5174601,AMI ACTIV S.R.L.,48054706,AMI ACTIV S.R.L.
RO47BACX0000002568759000,DANAMAV S.R.L,48926368,DANAMAV S.R.L.
RO57RZBR0000060026027959,VODICENII S.R.L.,49886261,VODICENII S.R.L.
RO45INGB0000999909959673,EDUCA FAMILY SRL,42152217,EDUCA FAMILY S.R.L.
RO46BACX0000002400581000,CIMESILACS S.R.L.,47176020,CIMESILACS S.R.L.
RO22BACX0000002850074000,MIRAMAR SOLUTIONS S.R.L.,51713351,MIRAMAR SOLUTIONS S.R.L.
RO67INGB0000999913397442,ALEXKIR XPRESS SRL,47498034,ALEXKIR XPRESS S.R.L.
RO35BACX0000002729243000,GABI MATE C&I S.R.L.,50453504,GABI MATE C&I S.R.L.
RO30RNCB0053178613270001,ROBY&CAMI BUSINESS S.R.L.,49968744,ROBY&CAMI BUSINESS S.R.L.
RO21BTRLRONCRT0T1460A401,MEGEGY SRL,43733170,MEGEGY S.R.L.
RO22INGB0000999917268358,XSOF TABAC S.R.L.,RO51407638,XSOF TABAC S.R.L.
RO37BTRLRONCRT0CG5520301,FAMARIDAVSTORE S.R.L.,45979112,FAMARIDAVSTORE S.R.L.
RO36BRDE240SV55232982400,CORIBO COMPANY SRL,22269167,CORIBO COMPANY SRL
RO02BACX0000002790625000,YAYASOSI S.R.L.,RO42719800,YAYASOSI S.R.L.
RO73INGB0000999915172628,BIADEV S.R.L.,49595254,BIADEV S.R.L.
